Timestamp,What is your gender?,What is your age?,What religion do you follow?,What is your level of Study?,Which Faculty are you a part of?,Are you familiar with ChatGPT?,Do you use ChatGPT?,How often do you find yourself using ChatGPT?,Do you believe the use of ChatGPT condones plagiarism?,Has the Use of ChatGPT allowed you to do your work more effectively?,What are the use cases that you have used ChatGPT in? ,Which aspect of school do you believe should start to incorporate ChatGPT into their curriculum?
3/9/2023 12:42:44,Male,18 - 21,Hinduism,Undergraduate,Science,Yes,Yes,Around 2-5 times a week,No,Yes,"Essays, Research, Computing Problems",Assignments
3/9/2023 12:48:01,Male,18 - 21,Atheism,Undergraduate,Science,Yes,No,Don't really use it,Yes,No,Research,I don't believe school should incorporate ChatGPT
3/9/2023 12:50:25,Male,18 - 21,Atheism,Undergraduate,Science,Yes,Yes,Around 2-5 times a week,No,Yes,"Research, Coding Solutions, Math Problem, Ideas/ Brain storming?, Entertainment?","Homework, Assignments, Research Projects/ Labs"
3/9/2023 13:04:57,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,20+ Times per week,Yes,Yes,"Math Problem, Entertainment?",Homework
3/9/2023 13:18:30,Male,18 - 21,Hinduism,Undergraduate,Science,Yes,Yes,Around 2-5 times a week,No,Yes,"Essays, Research, Math Problem, Ideas/ Brain storming?, Entertainment?",I don't believe school should incorporate ChatGPT
3/10/2023 16:39:26,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,20+ Times per week,No,Yes,"Math Problem, Entertainment?",Homework
3/10/2023 22:25:47,Male,18 - 21,Buddhism,Undergraduate,Science,Yes,Yes,Don't really use it,Yes,Yes,"Research, Ideas/ Brain storming?","Homework, Assignments, Research Projects/ Labs"
3/11/2023 18:57:34,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,Once a Week,Yes,Yes,Research,Homework
3/12/2023 21:03:41,Female,18 - 21,Hinduism,Graduate,Business,Yes,Yes,Once a Week,Yes,Yes,"Essays, Research",I don't believe school should incorporate ChatGPT
3/12/2023 21:24:24,Male,18 - 21,Hinduism,Undergraduate,Business,Yes,Yes,Don't really use it,Yes,Yes,Research,Homework
3/12/2023 23:45:49,Male,18 - 21,Buddhism,Undergraduate,Science,Yes,No,Don't really use it,Yes,I don't use it,Don't really use it,Homework
3/14/2023 1:34:42,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,Once a Week,Yes,No,Research,Research Projects/ Labs
3/15/2023 13:31:23,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,About 5-10 time a week,Yes,Yes,"Essays, Research, Coding Solutions, Math Problem, Computing Problems, Physics/Chemsitry Calculations, Ideas/ Brain storming?","Homework, Assignments, Research Projects/ Labs"
3/15/2023 13:32:16,Male,18 - 21,Islam,Undergraduate,Business,Yes,No,Don't really use it,Yes,I don't use it,Don't really use it,"Assignments, Research Projects/ Labs"
3/15/2023 13:42:10,Male,22 - 25,"Islam, Christianity, Judaism, Buddhism, Hinduism, Atheism",Undergraduate,Business,No,No,Don't really use it,No,I don't use it,Don't really use it,I don't believe school should incorporate ChatGPT
3/15/2023 14:04:39,Attack helicopter,18 - 21,Islam,Undergraduate,Science,Yes,Yes,Once a Week,No,Yes,"Math Problem, Ideas/ Brain storming?",I don't believe school should incorporate ChatGPT
3/15/2023 14:24:51,Male,18 - 21,Islam,Undergraduate,Science,Yes,No,Don't really use it,Yes,I don't use it,"Entertainment?, Don't really use it",I don't believe school should incorporate ChatGPT
3/15/2023 15:06:57,Male,18 - 21,Atheism,Undergraduate,Science,Yes,Yes,Once a Week,Yes,Yes,"Essays, Research, Coding Solutions, Math Problem, Computing Problems, Ideas/ Brain storming?, Entertainment?","Homework, Assignments, Research Projects/ Labs"
3/15/2023 15:56:17,Male,18 - 21,Atheism,Undergraduate,Arts,Yes,Yes,Don't really use it,Yes,No,Don't really use it,I don't believe school should incorporate ChatGPT
3/15/2023 15:57:35,Male,18 - 21,Islam,Undergraduate,computer programming,Yes,Yes,20+ Times per week,No,Yes,"Essays, Research, Coding Solutions, Math Problem, Computing Problems, Physics/Chemsitry Calculations, Ideas/ Brain storming?, Social Media postings, Entertainment?","Homework, Assignments, Tests/ Quizes, Research Projects/ Labs"
3/15/2023 19:40:57,Female,18 - 21,Islam,Undergraduate,Business,Yes,Yes,Around 2-5 times a week,Yes,Yes,"Essays, Math Problem, Computing Problems, Ideas/ Brain storming?, Entertainment?","Homework, Assignments, Research Projects/ Labs"
3/22/2023 23:00:39,Male,18 - 21,Islam,Undergraduate,Science,Yes,Yes,Once a Week,Yes,Yes,"Research, Physics/Chemsitry Calculations",I don't believe school should incorporate ChatGPT
3/22/2023 23:00:53,Female,18 - 21,Hinduism,Undergraduate,Science,Yes,No,Don't really use it,Yes,I don't use it,Don't really use it,I don't believe school should incorporate ChatGPT
3/22/2023 23:02:25,Male,18 - 21,Islam,Undergraduate,Engineering,Yes,No,Don't really use it,No,I don't use it,Don't really use it,"Homework, Assignments, Research Projects/ Labs"
3/22/2023 23:03:12,Female,18 - 21,Christianity,Undergraduate,Science,No,No,Don't really use it,Yes,I don't use it,Don't really use it,I don't believe school should incorporate ChatGPT
3/22/2023 23:14:28,Male,18 - 21,Hinduism,Undergraduate,Engineering,Yes,Yes,Around 2-5 times a week,Yes,Yes,"Essays, Coding Solutions, Math Problem, Physics/Chemsitry Calculations, Ideas/ Brain storming?","Homework, Tests/ Quizes"
3/22/2023 23:35:28,Female,18 - 21,Buddhism,Undergraduate,Science,Yes,No,Don't really use it,No,I don't use it,Don't really use it,"Homework, Assignments, Research Projects/ Labs"
3/22/2023 23:47:38,Male,18 - 21,Atheism,Undergraduate,Engineering,Yes,Yes,Once a Week,No,Yes,"Coding Solutions, Math Problem",Assignments
3/23/2023 0:04:14,Male,18 - 21,"Islam, Dunno",Undergraduate,Engineering,Yes,No,Don't really use it,No,I don't use it,Don't really use it,"Homework, Assignments, Tests/ Quizes, Research Projects/ Labs"
3/23/2023 0:14:16,Male,18 - 21,Hinduism,Undergraduate,Science,Yes,Yes,Don't really use it,No,Yes,Essays,Assignments
3/23/2023 0:20:32,Female,18 - 21,Islam,Undergraduate,Science,Yes,No,Don't really use it,No,I don't use it,Don't really use it,"Homework, Assignments, Research Projects/ Labs"
3/23/2023 0:24:33,Female,18 - 21,Hinduism,Undergraduate,Science,Yes,No,Don't really use it,No,I don't use it,Don't really use it,I don't believe school should incorporate ChatGPT
3/23/2023 0:25:53,Female,18 - 21,Hinduism,Undergraduate,Science,No,No,Don't really use it,No,I don't use it,"Don't really use it, ",Homework
3/23/2023 0:37:22,Female,18 - 21,Agnostic,Undergraduate,Engineering,Yes,Yes,Don't really use it,No,Yes,Resumed and job search ,I don't believe school should incorporate ChatGPT
3/23/2023 0:44:39,Female,18 - 21,Atheism,Undergraduate,Arts,Yes,Yes,Don't really use it,No,I don't use it,Entertainment?,I don't believe school should incorporate ChatGPT
3/23/2023 1:00:02,Male,18 - 21,Agnostic ,Undergraduate,Science,Yes,Yes,Around 2-5 times a week,Yes,Yes,"Essays, Coding Solutions, Math Problem, Computing Problems, Ideas/ Brain storming?, Social Media postings",I don't believe school should incorporate ChatGPT
3/23/2023 1:39:16,Male,18 - 21,Atheism,Undergraduate,Health,Yes,Yes,Around 2-5 times a week,No,Yes,"Essays, Research, Ideas/ Brain storming?, Entertainment?","Homework, Assignments, Research Projects/ Labs"
3/23/2023 9:32:50,Male,18 - 21,Atheism,Undergraduate,Engineering,Yes,Yes,Once a Week,Yes,Yes,"Coding Solutions, Math Problem, Physics/Chemsitry Calculations, Ideas/ Brain storming?, Entertainment?","Homework, Assignments, Research Projects/ Labs"
3/23/2023 16:04:39,Male,18 - 21,Hinduism,Undergraduate,Science,Yes,Yes,Around 2-5 times a week,No,Yes,"Research, Computing Problems, Physics/Chemsitry Calculations, Ideas/ Brain storming?","Homework, Assignments, Research Projects/ Labs"
3/23/2023 21:44:55,Male,18 - 21,Atheism,Undergraduate,Arts,Yes,Yes,Don't really use it,Yes,Yes,Essays,"Homework, Assignments"
3/27/2023 16:27:40,Female,18 - 21,Islam,Undergraduate,Science,Yes,No,Don't really use it,Yes,I don't use it,Don't really use it,I don't believe school should incorporate ChatGPT
3/27/2023 21:28:37,Male,18 - 21,Hinduism,Undergraduate,Engineering,Yes,Yes,Around 2-5 times a week,No,Yes,"Essays, Research, Coding Solutions, Math Problem, Computing Problems, Physics/Chemsitry Calculations, Ideas/ Brain storming?, Social Media postings, Entertainment?","Homework, Assignments"
